entry_number,memory_address
0,0
1,1292
2,2356
3,3380
4,4316
5,5040
6,5720
7,6384
8,6792
9,7112
10,7396
11,7632
12,7844
13,7996
14,8148
15,8300
16,8452
17,8604
18,8752
19,8888
20,9024
21,9156
22,9288
23,9404
24,9520
25,9636
26,9748
27,9856
28,9960
29,10064
30,10168
31,10268
32,10368
33,10468
34,10568
35,10668
36,10768
37,10868
38,10968
39,11068
40,11160
41,11252
42,11340
43,11428
44,11508
45,11584
46,11660
47,11736
48,11812
49,11884
50,11952
51,12020
52,12084
53,12148
54,12212
55,12276
56,12340
57,12400
58,12460
59,12520
60,12580
61,12640
62,12700
63,12760
64,12820
65,12880
66,12940
67,13000
68,13060
69,13120
70,13180
71,13240
72,13300
73,13360
74,13420
75,13480
76,13540
77,13600
78,13660
79,13720
80,13780
81,13840
82,13900
83,13960
84,14020
85,14080
86,14140
87,14200
88,14260
89,14320
90,14380
91,14440
92,14500
93,14560
94,14620
95,14680
96,14740
97,14800
98,14860
99,14920
100,14980
101,15040
102,15100
103,15160
104,15220
105,15280
106,15340
107,15400
108,15460
109,15520
110,15580
111,15640
112,15700
113,15760
114,15820
115,15880
116,15940
117,16000
118,16060
119,16120
120,16180
121,16240
122,16300
123,16360
124,16420
125,16480
126,16540
127,16600
128,16660
129,16720
130,16780
131,16840
132,16900
133,16960
134,17020
135,17080
136,17140
137,17200
138,17260
139,17320
140,17380
141,17440
142,17500
143,17560
144,17620
145,17680
146,17740
147,17800
148,17860
149,17920
150,17980
151,18040
152,18100
153,18160
154,18220
155,18280
156,18340
157,18400
158,18460
159,18520
160,18580
161,18640
162,18700
163,18760
164,18820
165,18880
166,18940
167,19000
168,19060
169,19120
170,19180
171,19240
172,19300
173,19360
174,19420
175,19480
176,19540
177,19600
178,19660
179,19720
180,19780
181,19840
182,19900
183,19960
184,20020
185,20080
186,20140
187,20200
188,20260
189,20320
190,20380
191,20440
192,20500
193,20560
194,20620
195,20680
196,20740
197,20800
198,20860
199,20920
200,20980
201,21040
202,21100
203,21160
204,21220
205,21280
206,21340
207,21400
208,21460
209,21520
210,21580
211,21640
212,21700
213,21760
214,21820
215,21880
216,21940
217,22000
218,22060
219,22120
220,22180
221,22240
222,22300
223,22360
224,22420
225,22480
226,22540
227,22600
228,22660
229,22720
230,22780
231,22840
232,22900
233,22960
234,23020
235,23080
236,23140
237,23200
238,23260
239,23320
240,23380
241,23440
242,23500
243,23560
244,23620
245,23680
246,23740
247,23800
248,23860
249,23920
250,23980
251,24040
252,24100
253,24156
254,24212
255,24268
256,24320
257,24372
258,24420
259,24468
260,24512
261,24556
262,24600
263,24644
264,24688
265,24732
266,24776
267,24820
268,24864
269,24904
270,24944
271,24984
272,25024
273,25064
274,25100
275,25136
276,25172
277,25208
278,25244
279,25280
280,25316
281,25352
282,25388
283,25424
284,25460
285,25496
286,25532
287,25568
288,25604
289,25636
290,25668
291,25700
292,25728
293,25756
294,25784
295,25812
296,25840
297,25868
298,25896
299,25924
300,25952
301,25980
302,26008
303,26036
304,26064
305,26092
306,26120
307,26144
308,26168
309,26192
310,26216
311,26240
312,26264
313,26288
314,26308
315,26328
316,26348
317,26368
318,26388
319,26408
320,26428
321,26448
322,26468
323,26488
324,26508
325,26528
326,26548
327,26568
328,26588
329,26608
330,26628
331,26648
332,26668
333,26684
334,26700
335,26716
336,26732
337,26748
338,26764
339,26780
340,26796
341,26812
342,26828
343,26844
344,26860
345,26872
346,26884
347,26896
348,26908
349,26920
350,26932
351,26944
352,26956
353,26968
354,26980
355,26992
356,27004
357,27016
358,27028
359,27040
360,27052
361,27064
362,27076
363,27088
364,27100
365,27112
366,27120
367,27128
368,27136
369,27144
370,27152
371,27160
372,27168
373,27176
374,27184
375,27192
376,27200
377,27208
378,27216
379,27224
380,27232
381,27240
382,27248
383,27252
384,27256
385,27260
386,27264
387,27268
388,27272
389,27276
390,27280
391,27284
392,27288
393,27292
394,27296
395,27300
396,27304
397,27308
398,27312
399,27316
400,27320
401,27324
402,27328
403,27332
404,27336
405,27340
406,27344
407,27348
408,27352
409,27356
410,27360
411,27364
412,27368
413,27372
414,27376
415,27380
416,27384
417,27388
418,27392
419,27396
420,27400
421,27404